RunId;Step;Agent;ResultType;Result
5;10001;661:;Precission_!X;1.0
5;10001;661:;Recall_X;1.0
5;10001;661:;Recall_!X;1.0
5;10001;237:;RewardPos;40
5;10001;237:;RewardNeg;105
5;10001;237:;AmountOfProposition;22
5;10001;237:;AmountOfPositivesProposition;10
5;10001;237:;AmountOfNegativesProposition;12
5;10001;237:;AmountOfRightPositivesProposition;5
5;10001;237:;AmountOfWrongPositivesProposition;0
5;10001;237:;AmountOfRightNegativesProposition;0
5;10001;237:;AmountOfWrongNegativesProposition;4
5;10001;237:;Precission_X;1.0
5;10001;237:;Precission_!X;0.0
5;10001;237:;Recall_X;0.5555555555555556
5;10001;237:;Recall_!X;0
5;10001;880:;RewardPos;28
5;10001;880:;RewardNeg;21
5;10001;880:;AmountOfProposition;22
5;10001;880:;AmountOfPositivesProposition;10
5;10001;880:;AmountOfNegativesProposition;12
5;10001;880:;AmountOfRightPositivesProposition;3
5;10001;880:;AmountOfWrongPositivesProposition;0
5;10001;880:;AmountOfRightNegativesProposition;1
5;10001;880:;AmountOfWrongNegativesProposition;1
5;10001;880:;Precission_X;1.0
5;10001;880:;Precission_!X;0.5
5;10001;880:;Recall_X;0.75
5;10001;880:;Recall_!X;1.0
5;10001;989:;RewardPos;52
5;10001;989:;RewardNeg;0
5;10001;989:;AmountOfProposition;22
5;10001;989:;AmountOfPositivesProposition;10
5;10001;989:;AmountOfNegativesProposition;12
5;10001;989:;AmountOfRightPositivesProposition;0
5;10001;989:;AmountOfWrongPositivesProposition;0
5;10001;989:;AmountOfRightNegativesProposition;2
